Rank,Player,Gold,Silver,Bronze,S Tier,Earnings,medals
85,ShadoW,8,7,1,0,"$24,471",16
86,drone,12,4,3,0,"$24,060",19
87,BcJ,11,4,0,0,"$23,790",15
88,frz,7,0,2,0,"$23,777",9
89,Munchkin,4,3,1,0,"$23,690",8
90,reltuC,12,4,2,0,"$23,310",18
91,rite2ace,25,9,6,0,"$23,184",40
92,Shao,9,6,0,0,"$21,968",15
93,Hellff,14,12,6,0,"$21,584",32
94,Meddo,6,10,2,0,"$21,555",18
95,neth,6,5,1,0,"$21,440",12
95,meL,6,0,0,0,"$21,440",6
97,sutecas,3,1,0,0,"$21,397",4
98,gtnziN,5,0,0,0,"$21,325",5
99,katsumi,5,0,0,0,"$21,300",5
99,Jazzyk1ns,5,0,0,0,"$21,300",5
101,russ,4,2,0,0,"$21,279",6
102,mummAy,8,6,3,0,"$21,275",17
103,JessieVash,18,3,0,0,"$21,265",21
104,Dispenser,17,3,0,0,"$21,243",20
105,BORKUM,16,3,0,0,"$21,213",19
106,DubsteP,13,3,0,0,"$21,051",16
107,corey,4,3,0,0,"$21,000",7
108,Turko,5,10,1,0,"$20,905",16
109,penny,4,1,0,0,"$20,657",5
110,Nozwerr,13,3,2,0,"$20,035",18
111,JhoW,8,2,1,0,"$19,837",11
112,Zellsis,3,2,0,0,"$19,735",5
113,ZachaREEE,2,3,0,0,"$19,700",5
114,Medusa,3,3,1,0,"$19,698",7
115,babybay,2,3,0,0,"$19,650",5
116,lowel,6,1,0,0,"$19,549",7
117,Amaterasu,23,7,4,0,"$19,478",34
118,Vibhor,20,7,6,0,"$19,301",33
119,ec1s,9,5,2,0,"$19,228",16
120,zepher,5,1,1,0,"$19,068",7
121,MaKo,4,2,1,0,"$19,003",7
122,AsLanM4shadoW,4,2,0,0,"$18,828",6
123,xand,5,2,3,0,"$18,762",10
124,Patiphan,6,2,2,0,"$18,611",10
125,zekken,18,6,2,0,"$18,498",26
126,mwzera,8,2,1,0,"$18,463",11
127,kaboose,4,4,1,0,"$18,190",9
128,Art1st,15,2,1,0,"$18,060",18
129,gMd,5,4,3,0,"$18,000",12
130,mindfreak,10,4,1,0,"$17,846",15
130,f0rsakeN,10,4,2,0,"$17,846",16
132,Benkai,9,4,1,0,"$17,779",14
132,d4v41,9,4,1,0,"$17,779",14
134,witz,6,2,0,0,"$17,768",8
135,baddyG,4,2,2,0,"$17,725",8
136,zeddy,16,3,2,0,"$17,688",21
136,Coffee,16,3,3,0,"$17,688",22
138,aimDLL,3,2,1,0,"$17,686",6
139,Sayf,1,7,1,0,"$17,616",9
140,draken,2,8,1,0,"$17,508",11
141,shalaby,14,5,1,0,"$17,505",20
142,niesoW,7,2,0,0,"$17,463",9
143,dephh,2,3,0,0,"$17,450",5
144,alexis,5,0,0,0,"$17,300",5
144,Annie,5,0,0,0,"$17,300",5
146,PureR,8,5,1,0,"$17,110",14
147,SasuKe,6,2,3,0,"$17,017",11
147,STERBEN,6,3,3,0,"$17,017",12
149,mojj,6,2,3,0,"$16,937",11
150,chrollo,13,5,1,0,"$16,905",19
151,hugeon,12,1,4,0,"$16,796",17
152,KappA,20,10,3,0,"$16,788",33
153,bonkar,2,10,4,0,"$16,778",16
154,Leo,0,8,1,0,"$16,742",9
155,HellrangeR,19,10,3,0,"$16,588",32
156,mag0o,6,2,2,0,"$16,375",10
157,skillZ,18,7,3,0,"$16,262",28
158,SkRossi,18,6,2,0,"$16,153",26
159,Jonn,9,4,0,0,"$16,057",13
160,fr0st,11,7,1,0,"$16,010",19
161,MkaeL,5,3,3,0,"$16,000",11
162,Genghsta,2,5,6,0,"$15,990",13
163,DEATHMAKER,7,9,4,0,"$15,940",20
164,CREA,9,2,2,0,"$15,921",13
165,dimasick,3,0,2,0,"$15,912",5
166,Lightningfast,17,6,2,0,"$15,891",25
167,huynh,6,5,3,0,"$15,820",14
168,PTC,11,6,2,0,"$15,819",19
169,murizzz,2,3,2,0,"$15,706",7
170,Yacine,1,8,4,0,"$15,452",13
171,qck,1,4,3,0,"$15,449",8
172,valyn,14,13,1,0,"$15,320",28
173,Tuna,12,3,0,0,"$14,989",15
174,Bazzi,2,4,0,0,"$14,982",6
175,kero,3,3,1,0,"$14,954",7
176,Khalil,4,2,3,0,"$14,944",9
177,jcStani,2,6,4,0,"$14,850",12
178,LEGOO,3,3,0,0,"$14,828",6
179,JohnOlsen,8,5,3,0,"$14,762",16
179,ChAlalala,8,5,3,0,"$14,762",16
181,LAMMYSNAX,8,5,2,0,"$14,724",15
182,v1xen,7,6,1,0,"$14,528",14
183,exy,3,3,0,0,"$14,521",6
184,Fearoth,10,3,4,0,"$14,486",17
185,TS,2,3,1,0,"$14,312",6
186,Wedid,12,4,2,0,"$14,286",18
187,Nyang,9,3,0,0,"$14,269",12
188,hoody,2,3,2,0,"$14,003",7
189,zizox,9,3,2,0,"$13,890",14
190,ANDROID,2,4,2,0,"$13,835",8
191,YaBoiDre,4,5,4,0,"$13,725",13
192,Shanks,8,6,0,0,"$13,655",14
193,rhyme,3,4,2,0,"$13,618",9
194,dicey,3,3,1,0,"$13,480",7
