,Rank,Team,Gold,Silver,Bronze,S Tier,Earnings,tournaments won
314,315,Oxygen Supremacy,2,3,2,0,8422,7
315,316,Elevate,1,2,1,0,8414,4
316,317,Legacy Esports,0,1,0,0,8388,1
317,318,Team Liquid Brazil,2,0,0,0,8361,2
318,319,ROYALS,2,1,0,0,8354,3
319,320,FW ESPORTS,2,4,0,0,8337,6
320,321,Reality Rift,1,1,2,0,8317,4
321,322,Real Betis,1,3,0,0,8249,4
322,323,Meta Gaming,0,1,1,0,8150,2
323,323,Code7,1,3,1,0,8132,5
324,323,Akave Esports,2,1,0,0,8124,3
325,326,looking4org,3,0,1,0,8122,4
326,327,VIMDOLOL,0,1,1,0,8114,2
327,328,Mixup,2,0,2,0,8105,4
328,329,OG,0,0,0,0,8100,0
329,330,Rebels Gaming,1,1,0,0,8061,2
330,331,PDHM Gaming,5,1,1,0,8057,7
331,332,flow state,1,6,1,0,8037,8
332,333,SUPRMODE,1,1,0,0,8008,2
333,334,Northeption,0,1,1,0,8003,2
334,335,eXiLe eSports,4,3,1,0,7968,8
335,336,Revolution,1,2,0,0,7967,3
336,337,EveryBodyDance,3,0,0,0,7955,3
337,338,Tek Gaming,2,3,0,0,7937,5
338,339,Los Grandes,2,0,0,0,7934,2
339,340,Sangal Esports,0,1,0,0,7932,1
340,341,Arctic,2,1,0,0,7930,3
341,342,Celeste Esports,6,2,0,0,7919,8
342,343,Skull Cracker,3,0,1,0,7914,4
343,344,FENNEL,0,0,0,0,7867,0
344,345,2G4L,1,3,3,0,7843,7
345,346,DarkZero Esports,0,1,2,0,7808,3
346,347,Futbolist Female,0,0,0,0,7802,0
347,348,Quantum Strikers,1,1,0,0,7798,2
348,349,AoeXe,2,2,2,0,7792,6
349,350,LIZHI,0,0,0,0,7782,0
350,351,Optix,0,2,2,0,7755,4
351,351,ascend,2,2,0,0,7745,4
352,353,Penguin Sledding,5,1,1,0,7711,7
353,354,WATAHA,4,2,2,0,7692,8
354,354,Avenue Esports,6,5,0,0,7659,11
355,356,BBL Queens,0,0,0,0,7650,0
356,357,The Ultimates,0,1,1,0,7642,2
357,358,Crypto Esports,1,1,1,0,7617,3
358,359,Dire Wolves,0,0,0,0,7544,0
359,360,Ryze Gaming,1,2,0,0,7523,3
360,361,Team FANGS,7,0,1,0,7485,8
361,362,Kanga Esports,0,1,1,0,7457,2
362,363,Vengeance,7,7,2,0,7448,16
363,364,Aim.Attack,1,3,0,0,7435,4
364,365,FRENCH CANADIANS,1,0,1,0,7428,2
365,366,19esports,0,1,0,0,7389,1
366,367,eSuba,2,1,2,0,7380,5
367,368,Spacestation Gaming,1,0,1,0,7361,2
368,369,Diamant Esports,6,2,2,0,7332,10
369,370,Funkboings,0,2,2,0,7329,4
370,371,Fadee Gaming,1,4,0,0,7308,5
371,372,Enterprise Esports,0,2,0,0,7299,2
372,373,Entropiq Bravo,4,0,1,0,7298,5
373,374,big pizza,2,0,0,0,7293,2
374,375,Ground Zero Gaming,1,0,1,0,7274,2
375,376,Rex Regum Qeon,0,1,0,0,7269,1
376,377,QLASH Egypt,0,0,1,0,7255,1
377,378,beastcoast,0,1,1,0,7253,2
378,379,Complexity GX3,1,0,0,0,7251,1
379,380,HaZe Clan,0,0,0,0,7250,0
380,381,S2V Esports,0,1,0,0,7250,1
381,382,Avant Gaming,0,0,1,0,7244,1
382,383,VersionX,0,0,0,0,7236,0
383,384,DeToNator,0,0,0,0,7236,0
384,385,CYCLOPS athlete gaming,0,1,1,0,7236,2
385,386,Chiefs Esports Club,1,0,0,0,7228,1
386,387,Falkol eSports,1,0,1,0,7227,2
387,388,Fenerbahçe Esports,1,0,0,0,7185,1
388,389,TERROR.NET,3,0,0,0,7180,3
389,390,Dark Passage,0,1,0,0,7160,1
390,391,Case Esports,0,2,1,0,7160,3
391,392,Team Empire,1,0,0,0,7160,1
392,392,T1 Academy,0,1,0,0,7158,1
393,394,FURY,0,0,0,0,7156,0
394,395,eRa Eternity,4,0,0,0,7151,4
395,396,SKADE,0,0,0,0,7150,0
396,397,Black Dragons,0,0,0,0,7130,0
397,398,Unicorns of Love,0,0,0,0,7110,0
398,399,Nora-Rengo,1,0,0,0,7074,1
399,400,Lunatic-hai,0,0,1,0,7060,1
400,401,DETONA Gaming,1,0,0,0,7059,1
401,402,Lunatic-hai FLUX,0,1,0,0,7050,1
