Rank,Team,Gold,Silver,Bronze,S Tier,Earnings,tournaments won
320,FW ESPORTS,2,4,0,0,"$3,256",6
321,Reality Rift,1,1,2,0,"$3,104",4
322,Real Betis,1,3,0,0,"$3,030",4
323,Meta Gaming,0,1,1,0,"$3,000",2
323,Code7,1,3,1,0,"$3,000",5
323,Akave Esports,2,1,0,0,"$3,000",3
326,looking4org,3,0,1,0,"$2,978",4
327,VIMDOLOL,0,1,1,0,"$2,947",2
328,Mixup,2,0,2,0,"$2,900",4
329,OG,0,0,0,0,"$2,890",0
330,Rebels Gaming,1,1,0,0,"$2,823",2
331,PDHM Gaming,5,1,1,0,"$2,810",7
332,flow state,1,6,1,0,"$2,800",8
333,SUPRMODE,1,1,0,0,"$2,788",2
334,Northeption,0,1,1,0,"$2,689",2
335,eXiLe eSports,4,3,1,0,"$2,664",8
336,Revolution,1,2,0,0,"$2,657",3
337,EveryBodyDance,3,0,0,0,"$2,634",3
338,Tek Gaming,2,3,0,0,"$2,607",5
339,Los Grandes,2,0,0,0,"$2,600",2
340,Sangal Esports,0,1,0,0,"$2,597",1
341,Arctic,2,1,0,0,"$2,531",3
342,Celeste Esports,6,2,0,0,"$2,358",8
343,Skull Cracker,3,0,1,0,"$2,350",4
344,FENNEL,0,0,0,0,"$2,287",0
345,2G4L,1,3,3,0,"$2,253",7
346,DarkZero Esports,0,1,2,0,"$2,250",3
347,Futbolist Female,0,0,0,0,"$2,240",0
348,Quantum Strikers,1,1,0,0,"$2,198",2
349,AoeXe,2,2,2,0,"$2,193",6
350,LIZHI,0,0,0,0,"$2,163",0
351,Optix,0,2,2,0,"$2,150",4
351,ascend,2,2,0,0,"$2,150",4
353,Penguin Sledding,5,1,1,0,"$2,125",7
354,WATAHA,4,2,2,0,"$2,022",8
354,Avenue Esports,6,5,0,0,"$2,022",11
356,BBL Queens,0,0,0,0,"$2,021",0
357,The Ultimates,0,1,1,0,"$2,000",2
358,Crypto Esports,1,1,1,0,"$1,900",3
359,Dire Wolves,0,0,0,0,"$1,897",0
360,Ryze Gaming,1,2,0,0,"$1,875",3
361,Team FANGS,7,0,1,0,"$1,858",8
362,Kanga Esports,0,1,1,0,"$1,847",2
363,Vengeance,7,7,2,0,"$1,783",16
364,Aim.Attack,1,3,0,0,"$1,756",4
365,FRENCH CANADIANS,1,0,1,0,"$1,750",2
366,19esports,0,1,0,0,"$1,709",1
367,eSuba,2,1,2,0,"$1,701",5
368,Spacestation Gaming,1,0,1,0,"$1,700",2
369,Diamant Esports,6,2,2,0,"$1,687",10
370,Funkboings,0,2,2,0,"$1,650",4
371,Fadee Gaming,1,4,0,0,"$1,633",5
372,Enterprise Esports,0,2,0,0,"$1,586",2
373,Entropiq Bravo,4,0,1,0,"$1,562",5
374,big pizza,2,0,0,0,"$1,509",2
375,Ground Zero Gaming,1,0,1,0,"$1,411",2
376,Rex Regum Qeon,0,1,0,0,"$1,355",1
377,QLASH Egypt,0,0,1,0,"$1,318",1
378,beastcoast,0,1,1,0,"$1,300",2
379,Complexity GX3,1,0,0,0,"$1,200",1
380,HaZe Clan,0,0,0,0,"$1,025",0
381,S2V Esports,0,1,0,0,"$1,014",1
382,Avant Gaming,0,0,1,0,"$1,001",1
383,VersionX,0,0,0,0,"$1,000",0
384,DeToNator,0,0,0,0,$955,0
385,CYCLOPS athlete gaming,0,1,1,0,$949,2
386,Chiefs Esports Club,1,0,0,0,$868,1
387,Falkol eSports,1,0,1,0,$820,2
388,Fenerbahçe Esports,1,0,0,0,$765,1
389,TERROR.NET,3,0,0,0,$693,3
390,Dark Passage,0,1,0,0,$564,1
391,Case Esports,0,2,1,0,$555,3
392,Team Empire,1,0,0,0,$500,1
392,T1 Academy,0,1,0,0,$500,1
394,FURY,0,0,0,0,$363,0
395,eRa Eternity,4,0,0,0,$348,4
396,SKADE,0,0,0,0,$298,0
397,Black Dragons,0,0,0,0,$283,0
398,Unicorns of Love,0,0,0,0,$282,0
399,Nora-Rengo,1,0,0,0,$267,1
400,Lunatic-hai,0,0,1,0,$247,1
401,DETONA Gaming,1,0,0,0,$107,1
402,Lunatic-hai FLUX,0,1,0,0,$92,1
